City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,33,4,9,0.27,2,103,65,7
阿克苏地区,500,427,1454,0.65,17,67,29,9
阿拉善盟,57,28,62,0.3,7,113,99,11
阿勒泰地区,50,15,22,0.35,7,98,98,10
阿里地区,28,6,11,0.35,3,81,54,4
安康,69,39,85,0.8,19,106,59,11
安庆,59,41,60,0.38,15,134,85,6
鞍山,71,51,76,1.24,31,96,74,27
安顺,59,34,65,0.6,10,114,105,10
安阳,289,238,302,1.88,38,114,54,21
白城,70,49,63,0.45,11,131,122,18
百色,67,36,82,1.15,16,134,55,24
白山,71,51,66,1.4,16,106,84,13
白银,63,35,74,1.2,18,104,57,41
保定,164,124,204,1.28,46,150,79,21
宝鸡,142,108,161,1.25,62,71,33,16
保山,72,47,92,0.7,8,156,80,9
包头,75,47,98,0.67,18,122,55,14
巴彦淖尔,63,34,74,0.4,15,105,50,11
巴中,63,30,74,0.75,32,60,40,4
北海,67,31,55,0.78,14,164,119,10
北京,208,157,178,2.6,60,110,60,33
蚌埠,64,40,75,0.58,16,132,94,9
本溪,63,44,61,1.0,17,122,82,17
毕节,74,51,96,0.8,10,139,99,13
滨州,147,112,145,1.1,30,111,50,31
博州,53,27,53,0.6,8,63,38,11
亳州,80,58,102,0.65,18,134,87,10
沧州,184,138,207,0.93,59,90,52,28
长春,53,34,53,0.76,23,120,89,13
常德,66,34,80,0.78,15,137,62,14
昌都,35,20,25,0.65,9,102,68,7
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,92,48,132,1.1,28,59,50,9
长沙,56,26,60,0.65,23,131,79,19
常熟,80,58,101,0.73,32,124,88,25
长治,138,105,168,0.8,16,137,64,11
常州,65,46,62,0.92,40,84,53,14
朝阳,48,33,45,0.68,16,107,83,22
潮州,63,44,64,0.67,14,155,90,13
承德,85,52,117,1.12,36,108,58,23
成都,65,43,78,0.7,41,103,71,16
郴州,56,23,59,0.28,14,107,47,18
赤峰,87,64,122,0.73,26,66,37,41
池州,56,39,52,0.5,17,111,72,8
重庆,59,27,65,0.74,44,62,42,12
崇左,69,41,61,0.7,13,174,78,21
楚雄州,58,40,62,1.05,10,84,44,15
滁州,105,78,100,0.6,22,115,74,9
大连,89,66,105,1.11,28,114,63,18
大理州,76,55,72,0.95,16,143,122,5
丹东,52,35,51,0.65,12,102,62,13
大庆,50,29,41,0.54,24,123,98,23
大同,56,19,59,0.78,9,96,62,9
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,36,9,22,0.4,12,91,70,11
达州,72,43,91,0.84,33,88,48,15
德宏州,138,105,127,0.9,32,142,47,21
德阳,72,42,92,0.65,29,90,50,7
德州,144,110,177,1.43,21,115,67,12
定西,41,17,40,0.75,16,115,56,10
迪庆州,53,27,44,0.6,8,131,102,14
东莞,54,28,44,0.68,23,162,80,11
东营,154,117,207,1.02,21,107,38,46
鄂尔多斯,65,18,78,0.58,12,121,77,11
恩施州,61,40,70,0.9,20,90,38,8
鄂州,66,47,72,0.8,37,93,65,16
防城港,59,33,66,0.8,17,164,93,18
